sec,x,y
23.333,694.52,323.43
23.367,664.62,320.72
23.433,646.96,327.51
23.467,634.73,334.31
23.5,611.62,354.69
23.533,619.78,357.41
23.633,611.62,351.97
23.7,583.08,335.67
23.767,562.69,318
23.867,543.67,335.67
23.9,538.23,406.34
23.933,536.87,455.26
23.967,539.59,504.19
24.033,546.39,539.52
24.1,496.1,483.8
24.133,468.92,451.19
24.167,444.46,432.16
24.267,428.15,417.21
24.3,453.97,430.8
24.367,489.31,474.29
24.433,523.28,504.19
24.467,532.8,520.5
24.567,515.13,497.39
24.633,485.23,477.01
24.667,466.2,455.26
24.7,424.07,443.03
24.767,424.07,477.01
24.9,474.36,414.49
24.933,509.69,385.95
24.967,554.54,376.44
25.033,604.83,357.41
25.067,649.67,399.54
25.1,721.7,478.37
25.133,735.3,523.22
25.167,751.6,574.86
25.233,762.48,607.48
25.3,724.42,588.45
25.367,636.08,542.24
25.433,579,543.6
25.467,555.9,539.52
25.533,528.72,524.58
25.633,501.54,498.75
25.667,519.2,502.83
25.7,540.95,510.98
25.733,562.69,481.09
25.767,564.05,452.54
25.833,568.13,395.46
25.867,551.82,403.62
25.9,573.57,403.62
26.033,581.72,381.87
26.073,599.19,381.33
26.1,625.21,406.34
26.133,638.8,421.29
26.267,672.78,428.08
26.3,739.37,468.85
26.333,795.09,513.7
26.367,842.66,562.63
26.433,820.92,618.35
26.5,788.3,608.84
26.606,742.46,565.16
26.633,720.35,543.6
26.673,644.24,505.55
26.706,570.85,477.01
26.773,570.85,517.78
26.873,595.31,539.52
26.906,608.9,561.27
27.039,626.57,588.45
27.106,547.75,606.12
27.139,535.51,583.01
27.173,504.26,510.98
27.239,463.48,440.31
27.273,458.05,380.51
27.306,458.05,318
27.373,486.59,316.64
27.439,490.66,338.38
27.473,502.9,357.41
27.506,489.31,377.8
27.573,523.28,402.26
27.639,535.51,366.92
27.773,509.69,354.69
27.873,494.74,369.64
27.906,481.15,402.26
27.939,471.64,455.26
27.973,467.56,498.75
28.039,478.43,555.83
28.073,463.48,600.68
28.106,453.97,637.38
28.139,505.61,595.25
28.173,535.51,565.35
28.239,581.72,512.34
28.273,595.31,491.96
28.306,615.7,456.62
28.339,630.65,453.9
28.439,645.6,457.98
28.473,678.21,462.06
28.539,687.73,493.32
28.573,697.24,512.34
28.639,701.32,542.24
28.773,698.6,531.37
28.839,678.21,512.34
28.906,644.24,524.58
28.939,622.49,485.16
29.073,595.31,486.52
29.106,562.69,460.7
29.139,551.82,429.44
29.306,580.36,436.24
29.339,615.7,512.34
29.373,625.21,562.63
29.439,627.93,615.63
29.473,606.18,655.04
29.506,591.24,679.51
29.539,558.62,675.43
29.573,539.59,659.12
29.673,532.8,638.74
29.739,545.03,614.27
30.006,539.59,600.68
30.173,534.15,578.94
30.239,528.72,549.04
30.273,502.9,521.86
30.306,497.46,487.88
30.339,532.8,456.62
30.373,580.36,443.03
30.439,599.39,483.8
30.473,649.67,523.22
30.506,686.37,568.07
30.539,690.45,706.69
30.573,661.91,743.38
30.773,682.29,723
30.839,674.14,702.61
30.873,670.06,684.94
30.906,665.98,648.25
30.939,642.88,602.04
30.973,621.13,574.86
31.039,591.24,566.71
31.173,539.59,619.71
31.239,565.41,660.48
31.273,568.13,708.05
31.306,610.26,762.41
31.339,627.93,858.9
31.373,637.44,887.44
31.506,636.08,850.75
31.539,588.52,739.31
31.573,579,655.04
31.639,554.54,570.78
31.673,519.2,489.24
31.706,490.66,443.03
31.739,463.48,388.67
31.773,494.74,365.57
31.839,536.87,364.21
31.873,555.9,381.87
31.939,538.23,390.03
31.973,555.9,404.98
32.039,572.21,418.57
32.073,585.8,419.93
32.106,603.47,445.75
32.139,680.93,477.01
32.173,708.11,509.63
32.273,674.14,530.01
32.473,668.7,478.37
32.506,653.75,443.03
32.539,629.29,415.85
32.573,618.42,402.26
32.673,580.36,428.08
32.706,545.03,411.77
32.739,486.59,413.13
32.839,508.33,429.44
32.873,551.82,438.95
32.906,587.16,471.57
32.939,627.93,515.06
32.973,576.29,513.7
33.039,549.1,513.7
33.073,509.69,512.34
33.106,463.48,506.91
33.139,417.28,527.29
33.173,400.97,542.24
33.239,392.81,561.27
33.306,411.84,589.81
33.339,445.82,611.55
33.373,473,612.91
33.439,513.77,619.71
33.473,569.49,607.48
33.506,632.01,602.04
33.539,781.5,603.4
33.573,797.81,607.48
33.639,788.3,589.81
33.673,773.35,580.3
33.706,750.25,565.35
33.739,723.06,542.24
33.773,702.68,543.6
33.839,695.88,521.86
33.873,674.14,510.98
33.906,641.52,482.44
33.939,640.16,440.31
34.073,640.16,410.41
34.106,604.83,399.54
34.139,564.05,415.85
34.173,569.49,432.16
34.239,595.31,452.54
34.273,610.26,444.39
34.306,627.93,475.65
34.339,648.32,477.01
34.439,651.03,466.14
34.473,652.39,443.03
34.539,663.27,411.77
34.706,675.5,410.41
34.739,679.57,453.9
34.773,704.04,496.03
34.906,702.68,515.06
34.973,679.57,501.47
35.339,701.32,523.22
35.373,710.83,577.58
35.439,714.91,622.43
35.473,717.63,668.64
35.506,728.5,717.56
35.539,744.81,763.77
35.573,744.81,873.85
35.639,743.45,935.01
35.673,735.3,989.37
35.706,731.22,1019.27
35.739,728.5,1045.09
35.973,694.52,1045.09
36.106,680.93,1045.09
