participant,story,total,length,diff,diffpercent
Alicia,Goldilocks,18.17,21,2.8299999999999983,0.1347619047619047
Joe,Goldilocks,21.18,21,-0.17999999999999972,-0.008571428571428558
Svenna,Goldilocks,21.19,21,-0.19000000000000128,-0.009047619047619108
Monica,Goldilocks,21.47,21,-0.46999999999999886,-0.022380952380952328
Valerie,Goldilocks,20.75,21,0.25,0.011904761904761904
Lucy,Goldilocks,15.2,21,5.800000000000001,0.2761904761904762
ChrissyK,Goldilocks,19.98,21,1.0199999999999996,0.04857142857142855
Marla,Goldilocks,19.02,21,1.9800000000000004,0.0942857142857143
Alyssa,Goldilocks,20.49,21,0.5100000000000016,0.024285714285714362
Melissa,Goldilocks,20.18,21,0.8200000000000003,0.03904761904761906
Lindsay,Goldilocks,21.19,21,-0.19000000000000128,-0.009047619047619108
Erin,Goldilocks,21.42,21,-0.4200000000000017,-0.02000000000000008
Allison,Goldilocks,20.51,21,0.48999999999999844,0.023333333333333258
DeAnna,Goldilocks,21.31,21,-0.3099999999999987,-0.014761904761904702
Jennifer,Goldilocks,20.71,21,0.28999999999999915,0.013809523809523768
Matt,Goldilocks,21.43,21,-0.4299999999999997,-0.020476190476190464
Tori,Goldilocks,16.16,21,4.84,0.23047619047619047
Amy,Goldilocks,20.03,21,0.9699999999999989,0.046190476190476136
Chris,Goldilocks,17.21,21,3.789999999999999,0.18047619047619043
Jilliean,Goldilocks,20.06,21,0.9400000000000013,0.04476190476190482
Cami,Goldilocks,20.81,21,0.19000000000000128,0.009047619047619108
Deniz,Goldilocks,21.02,21,-0.019999999999999574,-9.523809523809321e-4
Stephanie,Goldilocks,20.63,21,0.370000000000001,0.017619047619047666
Mauro,Goldilocks,18.84,21,2.16,0.10285714285714287
Cora,Goldilocks,19.9,21,1.1000000000000014,0.05238095238095245
Aya,Goldilocks,21.07,21,-0.07000000000000028,-0.003333333333333347
Hayley,Goldilocks,5.67,21,15.33,0.73
Danielle,Goldilocks,20.86,21,0.14000000000000057,0.006666666666666694
Aman,Goldilocks,20.53,21,0.46999999999999886,0.022380952380952328
Phuong,Goldilocks,21.1,21,-0.10000000000000142,-0.00476190476190483
Jaylin,Goldilocks,18.97,21,2.030000000000001,0.09666666666666672
Yasmine,Goldilocks,19.53,21,1.4699999999999989,0.06999999999999995
Austin,Goldilocks,19.75,21,1.25,0.05952380952380952
Matthew,Goldilocks,21.45,21,-0.4499999999999993,-0.021428571428571394
JJ,Goldilocks,18.23,21,2.7699999999999996,0.13190476190476189
Ranem,Goldilocks,20.03,21,0.9699999999999989,0.046190476190476136
Gina,Goldilocks,21.22,21,-0.21999999999999886,-0.010476190476190422
Jesse,Goldilocks,20.41,21,0.5899999999999999,0.02809523809523809
Jessika,KingMidas,36.72,37,0.28000000000000114,0.007567567567567599
Derek,KingMidas,35.73,37,1.2700000000000031,0.03432432432432441
Vanessa,KingMidas,35.57,37,1.4299999999999997,0.03864864864864864
Josh,KingMidas,36.52,37,0.4799999999999969,0.012972972972972889
Laura (missing stories),KingMidas,35.48,37,1.5200000000000031,0.04108108108108117
Crystal,KingMidas,36.47,37,0.5300000000000011,0.014324324324324355
Adam,KingMidas,37.04,37,-0.03999999999999915,-0.0010810810810810581
Brad,KingMidas,11.91,37,25.09,0.6781081081081081
Alicia,KingMidas,36.79,37,0.21000000000000085,0.005675675675675698
Joe,KingMidas,35.94,37,1.0600000000000023,0.02864864864864871
Svenna,KingMidas,36.03,37,0.9699999999999989,0.026216216216216184
Monica,KingMidas,35.95,37,1.0499999999999972,0.0283783783783783
Valerie,KingMidas,36.72,37,0.28000000000000114,0.007567567567567599
Lucy,KingMidas,36.28,37,0.7199999999999989,0.019459459459459427
ChrissyK,KingMidas,34.56,37,2.4399999999999977,0.06594594594594588
Marla,KingMidas,16.57,37,20.43,0.5521621621621622
Alyssa,KingMidas,34.43,37,2.5700000000000003,0.06945945945945947
Melissa,KingMidas,35.76,37,1.240000000000002,0.03351351351351357
Lindsay,KingMidas,26.9,37,10.100000000000001,0.272972972972973
Michael,KingMidas,18.95,37,18.05,0.48783783783783785
Erin,KingMidas,37.2,37,-0.20000000000000284,-0.005405405405405482
Allison,KingMidas,24.88,37,12.120000000000001,0.3275675675675676
DeAnna,KingMidas,36.57,37,0.4299999999999997,0.011621621621621614
Sara,KingMidas,36.39,37,0.6099999999999994,0.01648648648648647
Jennifer,KingMidas,36.55,37,0.45000000000000284,0.01216216216216224
Desiree,KingMidas,36.28,37,0.7199999999999989,0.019459459459459427
Matt,KingMidas,37.19,37,-0.18999999999999773,-0.005135135135135074
Tori,KingMidas,33.8,37,3.200000000000003,0.08648648648648656
Amy,KingMidas,37.05,37,-0.04999999999999716,-0.0013513513513512744
Chris,KingMidas,36.8,37,0.20000000000000284,0.005405405405405482
Jilliean,KingMidas,37.01,37,-0.00999999999999801,-2.702702702702165e-4
Cami,KingMidas,36.27,37,0.7299999999999969,0.019729729729729646
Deniz,KingMidas,18.55,37,18.45,0.4986486486486486
Stephanie,KingMidas,34.55,37,2.450000000000003,0.06621621621621629
Mauro,KingMidas,35.84,37,1.1599999999999966,0.03135135135135126
Cora,KingMidas,31.16,37,5.84,0.15783783783783784
Aya,KingMidas,35.35,37,1.6499999999999986,0.044594594594594555
Hayley,KingMidas,33.35,37,3.6499999999999986,0.09864864864864861
Danielle,KingMidas,35.91,37,1.0900000000000034,0.02945945945945955
Aman,KingMidas,36.11,37,0.8900000000000006,0.02405405405405407
Phuong,KingMidas,37.04,37,-0.03999999999999915,-0.0010810810810810581
Jaylin,KingMidas,35.36,37,1.6400000000000006,0.044324324324324336
Yasmine,KingMidas,35.75,37,1.25,0.033783783783783786
Austin,KingMidas,34.96,37,2.039999999999999,0.05513513513513511
Matthew,KingMidas,36.76,37,0.240000000000002,0.00648648648648654
Ranem,KingMidas,33.72,37,3.280000000000001,0.08864864864864867
Gina,KingMidas,36.21,37,0.7899999999999991,0.021351351351351328
Jesse,KingMidas,35.45,37,1.5499999999999972,0.04189189189189182
Jessika,RedRidingHood,18.49,18,-0.48999999999999844,-0.027222222222222134
Derek,RedRidingHood,16.15,18,1.8500000000000014,0.10277777777777786
Vanessa,RedRidingHood,16.97,18,1.0300000000000011,0.057222222222222285
Josh,RedRidingHood,17.79,18,0.21000000000000085,0.011666666666666714
Rebecca,RedRidingHood,5.63,18,12.370000000000001,0.6872222222222223
Crystal,RedRidingHood,18.34,18,-0.33999999999999986,-0.018888888888888882
ChrissyG,RedRidingHood,9.77,18,8.23,0.45722222222222225
Adam,RedRidingHood,13.46,18,4.539999999999999,0.2522222222222222
Brad,RedRidingHood,17.95,18,0.05000000000000071,0.0027777777777778173
Alicia,RedRidingHood,18.1,18,-0.10000000000000142,-0.005555555555555635
Joe,RedRidingHood,18.22,18,-0.21999999999999886,-0.012222222222222159
Svenna,RedRidingHood,17.8,18,0.1999999999999993,0.011111111111111072
Monica,RedRidingHood,18.23,18,-0.23000000000000043,-0.012777777777777801
Lucy,RedRidingHood,16.99,18,1.0100000000000016,0.056111111111111195
ChrissyK,RedRidingHood,18.49,18,-0.48999999999999844,-0.027222222222222134
Marla,RedRidingHood,17.94,18,0.05999999999999872,0.0033333333333332624
Alyssa,RedRidingHood,17.6,18,0.3999999999999986,0.022222222222222143
Melissa,RedRidingHood,17.35,18,0.6499999999999986,0.03611111111111103
Lindsay,RedRidingHood,18.49,18,-0.48999999999999844,-0.027222222222222134
Michael,RedRidingHood,16.27,18,1.7300000000000004,0.09611111111111113
Erin,RedRidingHood,18.47,18,-0.46999999999999886,-0.026111111111111047
Allison,RedRidingHood,17.76,18,0.23999999999999844,0.013333333333333246
DeAnna,RedRidingHood,17.15,18,0.8500000000000014,0.047222222222222304
Sara,RedRidingHood,17.47,18,0.5300000000000011,0.02944444444444451
Jennifer,RedRidingHood,18.19,18,-0.19000000000000128,-0.010555555555555627
Desiree,RedRidingHood,18.38,18,-0.379999999999999,-0.021111111111111056
Matt,RedRidingHood,18.46,18,-0.46000000000000085,-0.025555555555555602
Tori,RedRidingHood,17.11,18,0.8900000000000006,0.04944444444444448
Amy,RedRidingHood,18.49,18,-0.48999999999999844,-0.027222222222222134
Chris,RedRidingHood,14.52,18,3.4800000000000004,0.19333333333333336
Jilliean,RedRidingHood,18.04,18,-0.03999999999999915,-0.002222222222222175
Cami,RedRidingHood,18.01,18,-0.010000000000001563,-5.555555555556424e-4
Deniz,RedRidingHood,12.78,18,5.220000000000001,0.29000000000000004
Stephanie,RedRidingHood,17.1,18,0.8999999999999986,0.04999999999999992
Mauro,RedRidingHood,18.02,18,-0.019999999999999574,-0.0011111111111110875
Cora,RedRidingHood,17.61,18,0.39000000000000057,0.0216666666666667
Aya,RedRidingHood,18.21,18,-0.21000000000000085,-0.011666666666666714
Hayley,RedRidingHood,17.79,18,0.21000000000000085,0.011666666666666714
Danielle,RedRidingHood,18.02,18,-0.019999999999999574,-0.0011111111111110875
Aman,RedRidingHood,17.97,18,0.030000000000001137,0.0016666666666667299
Phuong,RedRidingHood,17.7,18,0.3000000000000007,0.016666666666666705
Jaylin,RedRidingHood,15.37,18,2.630000000000001,0.14611111111111116
Yasmine,RedRidingHood,16.47,18,1.5300000000000011,0.08500000000000006
Austin,RedRidingHood,16.44,18,1.5599999999999987,0.0866666666666666
Matthew,RedRidingHood,18.38,18,-0.379999999999999,-0.021111111111111056
Ranem,RedRidingHood,16.04,18,1.9600000000000009,0.10888888888888894
Gina,RedRidingHood,17.88,18,0.120000000000001,0.006666666666666722
Jesse,RedRidingHood,17.52,18,0.4800000000000004,0.02666666666666669
