id,maingroup,hearing,aoasl,age,direction,aoi,percent
49,HearingNovice,Hearing,20,22,forward,eyes,0.563803517984543
49,HearingNovice,Hearing,20,22,reversed,eyes,0.1418712190228573
50,HearingNovice,Hearing,21,22,forward,eyes,0.131457336511004
50,HearingNovice,Hearing,21,22,reversed,eyes,0.20887968798078424
51,HearingNovice,Hearing,16,19,forward,eyes,0.0686170460364007
51,HearingNovice,Hearing,16,19,reversed,eyes,0.002978008659467765
52,HearingNovice,Hearing,17,19.75,forward,eyes,0.019553062343790836
52,HearingNovice,Hearing,17,19.75,reversed,eyes,0.009256944645598574
54,DeafLate,Deaf,18,39,forward,eyes,0.120908348995944
54,DeafLate,Deaf,18,39,reversed,eyes,0.079606012413412
55,DeafEarly,Deaf,1,43,forward,eyes,0.415249588590236
55,DeafEarly,Deaf,1,43,reversed,eyes,0.38367129135539
56,DeafLate,Deaf,8,26,forward,eyes,0.4196612682416965
56,DeafLate,Deaf,8,26,reversed,eyes,0.1961092317632685
57,DeafLate,Deaf,19,42,forward,eyes,0.0718763215782359
57,DeafLate,Deaf,19,42,reversed,eyes,0.039461204030005095
58,DeafEarly,Deaf,0,34,forward,eyes,0.45936144026304204
58,DeafEarly,Deaf,0,34,reversed,eyes,0.00447125650959242
1,DeafEarly,Deaf,3,24,forward,mouth,0.69612343029725
1,DeafEarly,Deaf,3,24,reversed,mouth,0.6621413687261151
2,DeafEarly,Deaf,3,41,forward,mouth,0.8162995912626225
2,DeafEarly,Deaf,3,41,reversed,mouth,0.648243823513134
3,DeafLate,Deaf,4,34,forward,mouth,0.908708608333242
3,DeafLate,Deaf,4,34,reversed,mouth,0.7661910748516869
4,DeafLate,Deaf,6,31,forward,mouth,0.8095110588786815
4,DeafLate,Deaf,6,31,reversed,mouth,0.7092799264135095
5,DeafLate,Deaf,5,39,forward,mouth,0.602061855670103
5,DeafLate,Deaf,5,39,reversed,mouth,0.0421585160202361
7,DeafLate,Deaf,9,38,forward,mouth,0.411386138613861
7,DeafLate,Deaf,9,38,reversed,mouth,0.365896980461812
9,DeafLate,Deaf,10,39,forward,mouth,0.6238834357654806
9,DeafLate,Deaf,10,39,reversed,mouth,0.5650305969909319
10,DeafLate,Deaf,12,43,forward,mouth,0.40495422724825
10,DeafLate,Deaf,12,43,reversed,mouth,0.296827021494371
11,DeafLate,Deaf,13,26,forward,mouth,0.8338726147686795
11,DeafLate,Deaf,13,26,reversed,mouth,0.8485490405252665
12,DeafLate,Deaf,13,34,forward,mouth,0.8695801285292974
12,DeafLate,Deaf,13,34,reversed,mouth,0.9369772751313425
13,DeafLate,Deaf,14,37,forward,mouth,0.771790347311802
13,DeafLate,Deaf,14,37,reversed,mouth,0.766408820802834
14,DeafLate,Deaf,15,44,forward,mouth,0.5043653905030725
14,DeafLate,Deaf,15,44,reversed,mouth,0.8586844457476339
15,DeafEarly,Deaf,0,32,forward,mouth,0.8444120023983941
15,DeafEarly,Deaf,0,32,reversed,mouth,0.8766593357195256
16,DeafEarly,Deaf,0,24,forward,mouth,0.763491639853261
16,DeafEarly,Deaf,0,24,reversed,mouth,0.26352725013228234
17,DeafEarly,Deaf,0,29,forward,mouth,0.419800968580203
17,DeafEarly,Deaf,0,29,reversed,mouth,0.121951219512195
18,DeafEarly,Deaf,0,37,forward,mouth,0.9122682477880295
18,DeafEarly,Deaf,0,37,reversed,mouth,0.9608712209133641
19,DeafEarly,Deaf,0,22,forward,mouth,0.24957593504064893
19,DeafEarly,Deaf,0,22,reversed,mouth,0.6783854166666665
20,DeafEarly,Deaf,0,57,forward,mouth,0.727773577773578
20,DeafEarly,Deaf,0,57,reversed,mouth,0.843474327757143
21,DeafEarly,Deaf,0,24,forward,mouth,0.14658184953677014
21,DeafEarly,Deaf,0,24,reversed,mouth,0.0680644079168063
22,DeafEarly,Deaf,0,33,forward,mouth,0.745331538193194
22,DeafEarly,Deaf,0,33,reversed,mouth,0.8952680905408374
24,DeafEarly,Deaf,1,37,forward,mouth,0.62286859376398
24,DeafEarly,Deaf,1,37,reversed,mouth,0.536812617356655
25,DeafEarly,Deaf,1,30,forward,mouth,0.8636115351825044
25,DeafEarly,Deaf,1,30,reversed,mouth,0.65065963060686
26,DeafEarly,Deaf,1,37,forward,mouth,0.958512544802867
26,DeafEarly,Deaf,1,37,reversed,mouth,0.5958895542350985
28,HearingLate,Hearing,12,22,forward,mouth,0.23948801149466753
28,HearingLate,Hearing,12,22,reversed,mouth,0.07583023164009076
29,HearingLate,Hearing,13,23,forward,mouth,0.4164785824340985
29,HearingLate,Hearing,13,23,reversed,mouth,0.3339035837880005
30,HearingLate,Hearing,14,29,forward,mouth,0.209398186314922
30,HearingLate,Hearing,14,29,reversed,mouth,0.3132145637109505
31,HearingLate,Hearing,15,32,forward,mouth,0.956019791094008
31,HearingLate,Hearing,15,32,reversed,mouth,0.931219016302915
32,HearingLate,Hearing,15,18,forward,mouth,0.8155607167418746
32,HearingLate,Hearing,15,18,reversed,mouth,0.680540242557883
33,HearingLate,Hearing,18,29,forward,mouth,0.774131925044576
33,HearingLate,Hearing,18,29,reversed,mouth,0.9021569754989356
34,HearingLate,Hearing,18,30,forward,mouth,0.24631092916984
34,HearingLate,Hearing,18,30,reversed,mouth,0.111407470378832
35,HearingLate,Hearing,19,39,forward,mouth,0.6751698363386095
35,HearingLate,Hearing,19,39,reversed,mouth,0.1247086409810236
36,HearingLate,Hearing,19,26,forward,mouth,0.383797731980901
36,HearingLate,Hearing,19,26,reversed,mouth,0.04781307231789712
37,HearingLate,Hearing,20,38,forward,mouth,0.8947251806544795
37,HearingLate,Hearing,20,38,reversed,mouth,0.867141348179186
38,HearingLate,Hearing,22,28,forward,mouth,0.4163518236364725
38,HearingLate,Hearing,22,28,reversed,mouth,0.42553857176944754
39,HearingLate,Hearing,22,33,forward,mouth,0.6941471804069235
39,HearingLate,Hearing,22,33,reversed,mouth,0.3726150938266985
42,HearingNovice,Hearing,15,19,forward,mouth,0.7593818592764955
42,HearingNovice,Hearing,15,19,reversed,mouth,0.5062266675298335
43,HearingNovice,Hearing,16,21,forward,mouth,0.7662509710138781
43,HearingNovice,Hearing,16,21,reversed,mouth,0.7528322385881105
44,HearingNovice,Hearing,17,21,forward,mouth,0.1379615990572686
44,HearingNovice,Hearing,17,21,reversed,mouth,0.24911157198057002
45,HearingNovice,Hearing,17,18,forward,mouth,0.3570024856477085
45,HearingNovice,Hearing,17,18,reversed,mouth,0.19896713923884066
46,HearingNovice,Hearing,18,20,forward,mouth,0.6658910436017536
46,HearingNovice,Hearing,18,20,reversed,mouth,0.7977603790697245
